t_ns,t_bag_ns,n_beams,n_finite,angle_min,angle_max,angle_increment_raw,time_increment_s,scan_time_s
1784885717700177893,1784885717700794316,277,255,0.020410815253853798,6.2805962562561035,0.022636141628026962,0.0004363796324469149,0.12068387866020203
1784885717810167652,1784885717810587668,277,253,0.003268297528848052,6.263579845428467,0.02266649529337883,0.000436370843090117,0.12052226066589355
1784885717940183747,1784885717940791874,277,248,0.01481957733631134,6.275156021118164,0.022628553211688995,0.0004363690968602896,0.12072434276342392
1784885718060148030,1784885718060547200,278,248,0.010165485553443432,6.270322322845459,0.02259061299264431,0.0004363816406112164,0.1209271103143692
1784885718180166389,1784885718181032138,278,244,0.015785137191414833,6.27595853805542,0.022522317245602608,0.00043638047645799816,0.1212937980890274
1784885718300192078,1784885718300736142,278,235,0.00416583102196455,6.264503479003906,0.022529905661940575,0.0004363690095487982,0.12125294655561447
1784885718420104953,1784885718420482470,278,235,0.0162143986672163,6.276356220245361,0.022575436159968376,0.0004363826592452824,0.12100840359926224
1784885718550246300,1784885718550597282,278,236,0.014312133193016052,6.2744879722595215,0.02259061299264431,0.00043638033093884587,0.1209271103143692
1784885718670173258,1784885718670851826,278,232,0.022004803642630577,6.28215217590332,0.02254508249461651,0.0004363822808954865,0.12117132544517517
1784885718790163284,1784885718790538815,279,237,0.013683385215699673,6.273806571960449,0.02249196358025074,0.00043638396891765296,0.12145748734474182
1784885718910171160,1784885718910608386,280,235,0.01730974018573761,6.277706146240234,0.022408491000533104,0.0004363649059087038,0.12190992385149002
1784885719030168356,1784885719030574051,281,239,0.018986402079463005,6.279420852661133,0.0222946647554636,0.0004363622283563018,0.12253233790397644
1784885719150218939,1784885719150625024,281,244,0.013927100226283073,6.274449825286865,0.02234778366982937,0.00043635611655190587,0.12224108725786209
1784885719280159563,1784885719280546353,281,241,0.022080181166529655,6.282617568969727,0.022355372086167336,0.00043635506881400943,0.12219959497451782
1784885719400249998,1784885719400773319,281,238,0.0047059934586286545,6.265196800231934,0.0223401952534914,0.00043635835754685104,0.12228260934352875
