t_ns,t_bag_ns,left_wheel_rad,right_wheel_rad,left_wheel_vel,right_wheel_vel
1789550085864390228,1789550085868704293,278.710541871,430.570058928,0.2168346099063597,0.21841734428523824
1789550085869148602,1789550085872894176,278.710541871,430.570058928,0.2168346099063597,0.21841734428523824
1789550085873256615,1789550085888374075,278.710541871,430.570058928,0.2192087114746775,0.22079144585355603
1789550085889926496,1789550085894145359,278.848600161,430.708117218,0.2192087114746775,0.22079144585355603
1789550085905451858,1789550085910312434,278.848600161,430.708117218,0.21841734428523824,0.22000007866411675
1789550085910390284,1789550085913102170,278.98512447,430.84924347,0.21841734428523824,0.22000007866411675
1789550085913146762,1789550085927090406,278.98512447,430.84924347,0.2192087114746775,0.2215828130429953
1789550085927461975,1789550085931402675,279.130852665,430.991903703,0.2192087114746775,0.2215828130429953
1789550085932293218,1789550085936722485,279.130852665,430.991903703,0.2192087114746775,0.2215828130429953
1789550085937790803,1789550085947089127,279.130852665,430.991903703,0.22079144585355603,0.22079144585355603
1789550085948890823,1789550085954581275,279.265842993,431.126894031,0.22079144585355603,0.22079144585355603
1789550085953930766,1789550085957397215,279.265842993,431.126894031,0.22079144585355603,0.22079144585355603
1789550085957584953,1789550085968257423,279.265842993,431.126894031,0.21762597709579895,0.21762597709579895
1789550085968291127,1789550085971326637,279.403901283,431.26648630200003,0.21762597709579895,0.21762597709579895
1789550085972266012,1789550085974867084,279.403901283,431.26648630200003,0.21762597709579895,0.21762597709579895
1789550085977599007,1789550085989196186,279.403901283,431.26648630200003,0.2192087114746775,0.2192087114746775
1789550085989520107,1789550085991888609,279.546561516,431.404544592,0.2192087114746775,0.2192087114746775
1789550085993609306,1789550085996805869,279.546561516,431.404544592,0.2192087114746775,0.2192087114746775
1789550085997308084,1789550086009831723,279.546561516,431.404544592,0.22000007866411675,0.2192087114746775
1789550086010357305,1789550086013668540,279.683085825,431.542602882,0.22000007866411675,0.2192087114746775
1789550086014130420,1789550086016929498,279.683085825,431.542602882,0.22000007866411675,0.2192087114746775
1789550086017796074,1789550086031704871,279.683085825,431.542602882,0.21762597709579895,0.21841734428523824
1789550086031885830,1789550086036088770,279.822678096,431.67759321,0.21762597709579895,0.21841734428523824
1789550086036493874,1789550086042198360,279.822678096,431.67759321,0.21762597709579895,0.21841734428523824
1789550086041419949,1789550086055356060,279.822678096,431.67759321,0.2192087114746775,0.22079144585355603
1789550086056869254,1789550086064026305,279.960736386,431.820253443,0.2192087114746775,0.22079144585355603
